"filename", "language", "TypeScript React", "TypeScript", "SCSS", "comment", "blank", "total"
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\routes\new-product\new-product.component.tsx", "TypeScript React", 115, 0, 0, 0, 9, 124
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\routes\new-product\new-product.styles.scss", "SCSS", 0, 0, 42, 0, 3, 45
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\routes\product-editting\product-editing-form.component.tsx", "TypeScript React", 14, 0, 0, 0, 4, 18
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\routes\product-list\product-list.component.tsx", "TypeScript React", 44, 0, 0, 0, 6, 50
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\routes\product-list\product-list.style.scss", "SCSS", 0, 0, 15, 0, 2, 17
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\routes\product\product.route.styles.scss", "SCSS", 0, 0, 34, 0, 2, 36
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\routes\product\product.route.tsx", "TypeScript React", 37, 0, 0, 0, 4, 41
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\routes\searchResult\searchResult.route.tsx", "TypeScript React", 42, 0, 0, 0, 5, 47
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\routes\searchResult\searchResult.styles.scss", "SCSS", 0, 0, 14, 0, 1, 15
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\setupTests.ts", "TypeScript", 0, 1, 0, 4, 1, 6
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\test\reducer\cart-items-reducer.test.ts", "TypeScript", 0, 48, 0, 0, 4, 52
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\test\reducer\categories-reducer.test.ts", "TypeScript", 0, 28, 0, 0, 3, 31
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\test\reducer\products-reducer.test.ts", "TypeScript", 0, 70, 0, 14, 6, 90
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\test\reducer\search-tag-reducer.test.ts", "TypeScript", 0, 22, 0, 0, 2, 24
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\test\reducer\sort-category-reducer.test.ts", "TypeScript", 0, 22, 0, 0, 1, 23
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\test\reducer\user-reducer.test.ts", "TypeScript", 0, 43, 0, 1, 5, 49
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\test\shared\server.ts", "TypeScript", 0, 169, 0, 16, 4, 189
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\types\button.types.ts", "TypeScript", 0, 5, 0, 0, 0, 5
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\types\cart-items.types.ts", "TypeScript", 0, 7, 0, 0, 0, 7
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\types\category.types.ts", "TypeScript", 0, 5, 0, 0, 0, 5
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\types\login.types.ts", "TypeScript", 0, 4, 0, 0, 0, 4
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\types\new-product.type.ts", "TypeScript", 0, 11, 0, 0, 1, 12
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\types\product-cardlist.ts", "TypeScript", 0, 6, 0, 0, 0, 6
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\types\product.type.ts", "TypeScript", 0, 11, 0, 0, 3, 14
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\types\session.type.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\types\user.types.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"Total", "-", 1115, 973, 528, 65, 257, 2938
